Day,Incidents
2020-01-01,72
2020-01-02,5
2020-01-03,1
2020-01-04,2
2020-01-05,2
2020-01-06,5
2020-01-07,1
2020-01-08,1
2020-01-09,3
2020-01-10,2
2020-01-11,2
2020-01-12,3
2020-01-14,2
2020-01-15,2
2020-01-17,1
2020-01-18,3
2020-01-20,2
2020-01-21,2
2020-01-22,1
2020-01-23,1
2020-01-24,1
2020-01-27,2
2020-01-31,1
2020-02-01,13
2020-02-02,4
2020-02-03,2
2020-02-04,1
2020-02-05,2
2020-02-07,1
2020-02-08,2
2020-02-09,5
2020-02-10,1
2020-02-12,1
2020-02-13,3
2020-02-17,4
2020-02-18,1
2020-02-20,1
2020-02-21,1
2020-02-22,3
2020-02-23,3
2020-02-24,2
2020-02-25,2
2020-02-26,1
2020-02-27,1
2020-02-28,2
2020-03-01,15
2020-03-02,2
2020-03-03,4
2020-03-04,4
2020-03-05,2
2020-03-06,3
2020-03-07,2
2020-03-10,5
2020-03-12,2
2020-03-13,2
2020-03-14,2
2020-03-15,7
2020-03-16,3
2020-03-17,2
2020-03-18,1
2020-03-19,1
2020-03-20,9
2020-03-22,1
2020-03-23,1
2020-03-25,2
2020-03-26,1
2020-03-28,4
2020-04-01,10
2020-04-03,2
2020-04-05,1
2020-04-06,2
2020-04-07,2
2020-04-08,1
2020-04-10,1
2020-04-11,2
2020-04-17,3
2020-04-19,3
2020-04-20,2
2020-04-22,1
2020-04-23,1
2020-04-25,1
2020-04-26,2
2020-04-27,2
2020-04-29,1
2020-05-01,3
2020-05-04,1
2020-05-05,3
2020-05-07,1
2020-05-08,4
2020-05-09,1
2020-05-10,1
2020-05-11,1
2020-05-12,2
2020-05-14,1
2020-05-15,2
2020-05-16,1
2020-05-17,2
2020-05-20,3
2020-05-21,1
2020-05-22,1
2020-05-23,1
2020-05-24,2
2020-05-27,2
2020-05-28,1
2020-05-29,1
2020-05-31,1
2020-06-01,15
2020-06-02,2
2020-06-03,3
2020-06-04,1
2020-06-05,1
2020-06-09,2
2020-06-10,1
2020-06-11,1
2020-06-12,1
2020-06-13,2
2020-06-14,1
2020-06-15,4
2020-06-16,1
2020-06-17,1
2020-06-18,1
2020-06-19,2
2020-06-20,4
2020-06-22,4
2020-06-23,1
2020-06-24,2
2020-06-25,4
2020-06-26,1
2020-06-27,1
2020-06-28,1
2020-06-29,1
2020-06-30,1
2020-07-01,18
2020-07-02,2
2020-07-03,2
2020-07-04,1
2020-07-05,3
2020-07-06,1
2020-07-07,1
2020-07-08,1
2020-07-09,1
2020-07-10,3
2020-07-11,3
2020-07-12,1
2020-07-13,1
2020-07-14,2
2020-07-15,6
2020-07-16,1
2020-07-18,1
2020-07-19,2
2020-07-20,4
2020-07-21,1
2020-07-22,1
2020-07-24,2
2020-07-25,1
2020-07-26,2
2020-07-27,1
2020-07-28,1
2020-07-29,1
2020-07-30,3
2020-07-31,2
2020-08-01,9
2020-08-02,1
2020-08-04,2
2020-08-05,1
2020-08-06,4
2020-08-07,1
2020-08-08,1
2020-08-10,2
2020-08-11,1
2020-08-12,2
2020-08-13,2
